,credit_card_number,is_fraud
0,9098318708177872,0
1,1038103810381038,1
2,4055003361926713,0
3,7748205479306939,0
4,9835206211793792,0
5,910426801099556785,1
6,5933896995271881,0
7,8977017801367103,0
8,2593953519206418,0
9,8512967248233849,0
10,00147438124874560,1
11,1421245423115163,0
12,0613959301514999,0
13,0191366419378437,0
14,63822299084823709,1
15,9615407798211417,0
16,0657541744829047,0
17,3624283613927783,0
18,3549412498688397,0
19,4781800188036016,0
20,7020294645413756,0
21,6959864829412941,1
22,0612121210048691,0
23,8709818981449821,0
24,7450952835272227,0
25,7181195833422840,0
26,1468699197623440,0
27,4463062132117994,0
28,9060677662894508,0
29,8016705069212077,0
30,9139493224525336,0
31,5592578697957567,0
32,0586864832329504,0
33,0810467029895239,0
34,1228676513040322,0
35,1012601966050620,0
36,3409569720416738,0
37,6265470602118269,0
38,2867923581078107,1
39,0866346534657597,1
40,028785917983856709,1
41,0227837479935067,0
42,0750630644606290,0
43,443283965579685862,1
44,0615577802741247,0
45,5083773804023431,0
46,3214038386377561,0
47,0110581165458949,0
48,1856185994633462,0
49,2255991352130732,0
50,0897120597765463,0
51,6247589859143592,0
52,7859867857918527,0
53,9229650899143432,0
54,4058378221762268,0
55,5576438119820392,0
56,3902740575247865,0
57,1489779930126350,0
58,0819015794854748,0
59,0703136727001248,0
60,1769669034867662,0
61,5049336140360421,0
62,2918873176782970,0
63,3221614404885572,0
64,2863611770070626,0
65,7204244113873176,0
66,5938228250400629,0
67,2565150290455030,0
68,4833508594976801,0
69,507918971399336970,1
70,0019470573720076,0
71,1967430192505556,0
72,5852921530507531,0
73,5906288133477160,0
74,6271886227278677,0
75,5478451109803432,0
76,5402617447321963,0
77,8664261246794377,0
78,01303905399095,1
79,0451423339617151,0
80,0258618124149091,0
81,89380066905858410,1
82,6681250385548184,0
83,194251680079277,1
84,2886748916017527,0
85,6219048612686850,0
86,3085295158194752,0
87,5236192905748801,0
88,7605023167535809,0
89,5737283943267248,0
90,2383953122304893,0
91,5977856295873845,0
92,0360267493870268,0
93,4803288109087413,0
94,7595764612477644,0
95,8572101293164612,0
96,4692634188382907,0
97,8536050480304160,0
98,2007349413535471,0
99,2301291745996373,0
100,8500750971769188,0
101,3091365639168246,0
102,8791921004010193,0
103,6274002345657158,0
104,9107151708174129,0
105,4983118145817324,0
106,79315953713737040,1
107,5729145735876260,0
108,6526063949816005,0
109,0737433980742544,0
110,9704443902834194,0
111,6771617826157700,0
112,0740163745010176,0
113,1919191919191919,1
114,1727037751799058,0
115,9781627519849709,0
116,9257283079251188,0
117,8933315177096273,0
118,2740886973707496,0
119,6510179080616432,0
120,8614591078370875,0
121,8489955500614511,0
122,7594493908719837,0
123,0690789902506561,0
124,0179694084024956,0
125,8289694326350737,0
126,405407737807988829,1
127,9719708279113814,0
128,0114184347184718,1
129,8028536045098905,0
130,3643983698366034,1
131,6779382297342792,0
132,480882927953131,1
133,9335387655555555,1
134,9462047661589898,0
135,5575829194031218,0
136,1128373703904642,0
137,6522652265226522,1
138,8480777969937324,0
139,081392612237783,1
140,8097665056805680,1
141,0324720828469921,0
142,135122496280074927,1
143,8981612925663758,0
144,6942182923579131,0
145,7722284765593453,0
146,4550996286664346,0
147,5390109212168862,0
148,5438670834925527,0
149,2711432685792411,0
150,7094943805934656,0
151,3703395686073668,0
152,9628599084975146,0
153,0942039825045549,0
154,7658950755507631,0
155,1943673500746755,0
156,77573258529451275,1
157,6703796106130521,0
158,4395146371145382,0
159,7208399905692087,0
160,4913471033809865,0
161,1526557991298410,0
162,7144453952492488,0
163,3212947252620339,0
164,0842793402519197,0
165,0039483685181711,0
166,47030098920654712,1
167,2970206856490028,0
168,4363409794087664,0
169,2665874687462923,1
170,9339572944118792,0
171,6214580949142988,0
172,9038514251425593,1
173,8353095107066893,0
174,3597750784488448,1
175,851519636662604,1
176,6848619776039863,0
177,63312065307160,1
178,7054710185673165,0
179,5813550317825524,0
180,588060361164545,1
181,3364279043979576,0
182,3345083808384938,1
183,1327860422527769,0
184,8684868486848684,1
185,0316703281785830,0
186,7936229035417505,0
187,4760841256195287,0
188,8116547685705415,0
189,6277299475751121,0
190,6285729447007892,0
191,1383701538287086,0
192,9192055998707376,0
193,3002176228831401,0
194,9224482314856402,0
195,7435662753927545,0
196,9164633187682731,0
197,7631366450387340,0
198,4705512449466092,0
199,211054511144485,1
200,7604595555483025,0
201,3749337848643979,0
202,5707793263214305,0
203,7724394469974058,0
204,0853566438403840,1
205,5933737045534279,0
206,0346749884219446,0
207,3762796288296450,0
208,5277886805286898,0
209,0783385123330353,0
210,8607703562435666,0
